state,rMapState,rMapCounty,month,day,year,age,sex,repstat,mass,fa,Pd_intro,years_Pd,disease_time_step,county_centroid_lon,county_centroid_lat,site_mask,fips
GA,georgia,bartow,8,12,2013,adult,female,post-lactating,24.5,47.4,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,10,2013,adult,female,non-reproductive,16.5,47.6,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,10,2013,adult,female,non-reproductive,17.6,48.4,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,10,2013,adult,male,testes-descended,14.5,39.8,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,12,2013,adult,female,non-reproductive,21.4,46.8,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,10,2013,adult,male,testes-descended,13.3,46.3,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,7,18,2016,adult,male,non-reproductive,18,45,2013,3,epidemic,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,10,2013,juvenile,female,non-reproductive,19.1,49.1,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,12,2013,adult,female,non-reproductive,20.4,47,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,11,2013,adult,female,non-reproductive,18.7,47.8,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,7,18,2016,adult,male,non-reproductive,15,44,2013,3,epidemic,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,12,2013,adult,male,non-reproductive,16.1,46.7,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,7,18,2016,adult,male,non-reproductive,15,47,2013,3,epidemic,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,12,2013,adult,male,testes-descended,16.1,47.8,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,12,2013,adult,female,non-reproductive,16.6,48.4,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,cherokee,5,23,2014,adult,male,non-reproductive,15.5,47,2013,1,invasion,-84.48371602,34.2400035,GA_7,13057
GA,georgia,bartow,8,11,2013,adult,female,post-lactating,18,47.8,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,13,2013,adult,female,non-reproductive,17.7,49.1,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,11,2013,adult,male,non-reproductive,19.5,42.4,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,7,19,2016,adult,male,non-reproductive,14,46,2013,3,epidemic,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,11,2013,juvenile,female,non-reproductive,18.4,47.2,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,13,2013,adult,female,non-reproductive,18.7,47.8,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,10,2013,juvenile,female,non-reproductive,19.2,48.7,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,12,2013,juvenile,female,non-reproductive,21.3,47.3,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,12,2013,adult,male,testes-descended,14.3,46.6,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,7,18,2016,adult,male,non-reproductive,16.5,45,2013,3,epidemic,-84.85525287,34.22976581,GA_7,13015
GA,georgia,cherokee,5,24,2014,adult,female,pregnant,23.5,45,2013,1,invasion,-84.48371602,34.2400035,GA_7,13057
GA,georgia,bartow,8,10,2013,adult,male,testes-descended,14.3,46.2,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,10,2013,adult,male,testes-descended,14.8,43.8,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,bartow,8,11,2013,adult,female,non-reproductive,19.1,45.5,2013,0,invasion,-84.85525287,34.22976581,GA_7,13015
GA,georgia,rabun,6,7,2016,adult,female,pregnant,21.25,45,2013,3,epidemic,-83.41437967,34.8788537,GA_205,13241
GA,georgia,rabun,6,6,2016,adult,male,non-reproductive,16.5,46,2013,3,epidemic,-83.41437967,34.8788537,GA_205,13241
GA,georgia,rabun,7,17,2014,juvenile,female,non-reproductive,17,49,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,juvenile,female,non-reproductive,13.5,47,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,28,2013,adult,female,non-reproductive,17.5,49,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,28,2013,adult,female,post-lactating,20.5,49,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,28,2013,juvenile,female,non-reproductive,18,50,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,juvenile,female,non-reproductive,18,50,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,pregnant,22,46,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,lactating,19,49,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,27,2013,adult,female,post-lactating,21.5,45,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,post-lactating,22,51,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,adult,male,testes-descended,18,48,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,19,46,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,27,2013,adult,female,post-lactating,19,46,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,15,47,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,27,2013,juvenile,male,testes-descended,15,45,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,juvenile,male,non-reproductive,15.5,48,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,post-lactating,22,48,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,27,2013,adult,female,non-reproductive,21,49,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,lactating,18,46,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,9,16,2016,adult,male,non-reproductive,19,43,2013,3,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,28,2013,adult,female,post-lactating,23,50,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,lactating,20,46,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,28,2013,adult,male,testes-descended,17,47,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,lactating,14,46,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,25,46,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,adult,female,lactating,18,50,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,post-lactating,19.5,48,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,post-lactating,19.75,48,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,9,16,2016,adult,male,testes-descended,29,49,2013,3,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,juvenile,female,non-reproductive,17,46,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,juvenile,female,non-reproductive,16,48,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,22.5,50,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,lactating,18,47,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,21,46,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,lactating,20,45,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,27,2013,juvenile,female,non-reproductive,16.5,49,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,28,2013,adult,female,post-lactating,23,50,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,adult,female,post-lactating,23,50,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,21.5,49,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,juvenile,female,non-reproductive,16.5,49,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,lactating,19.5,50,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,27,2013,adult,female,post-lactating,23,48,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,28,2013,adult,female,non-reproductive,18,49,2013,0,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,25,48,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,adult,female,post-lactating,21,50,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,7,17,2014,adult,female,post-lactating,19,51,2013,1,invasion,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,7,2015,adult,female,post-lactating,19.5,45,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,rabun,6,6,2015,adult,female,post-lactating,21.5,47,2013,2,epidemic,-83.41437967,34.8788537,GA_203,13241
GA,georgia,fulton,7,14,2014,adult,female,lactating,19,48,2013,1,invasion,-84.46752958,33.79483773,GA_113,13121
GA,georgia,pike,7,14,2014,juvenile,male,testes-descended,15,49,2013,1,invasion,-84.40519406,33.07988914,GA_113,13231
GA,georgia,fulton,6,28,2014,adult,male,testes-descended,14.5,46,2013,1,invasion,-84.46752958,33.79483773,GA_110,13121
GA,georgia,fulton,6,28,2014,adult,female,lactating,17,49,2013,1,invasion,-84.46752958,33.79483773,GA_110,13121
GA,georgia,fulton,6,28,2014,adult,male,non-reproductive,15.25,48,2013,1,invasion,-84.46752958,33.79483773,GA_110,13121
GA,georgia,fulton,6,28,2014,adult,male,testes-descended,13,47,2013,1,invasion,-84.46752958,33.79483773,GA_110,13121
GA,georgia,fulton,6,28,2014,adult,female,lactating,19,45,2013,1,invasion,-84.46752958,33.79483773,GA_110,13121
GA,georgia,fulton,6,29,2014,adult,female,lactating,16.5,46,2013,1,invasion,-84.46752958,33.79483773,GA_110,13121
GA,georgia,fulton,6,28,2014,adult,male,testes-descended,15,49,2013,1,invasion,-84.46752958,33.79483773,GA_110,13121
GA,georgia,rabun,7,18,2013,adult,female,lactating,21,46,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,19,2013,adult,male,testes-descended,18,43,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,female,lactating,21.5,46,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,female,lactating,20.5,48,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,male,non-reproductive,14.5,44,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,19,2013,adult,female,lactating,21,46,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,19,2013,adult,female,post-lactating,23,48,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,female,non-reproductive,19,45.5,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,female,post-lactating,23,48,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,female,non-reproductive,19.5,47,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,male,non-reproductive,17.5,46,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,adult,female,lactating,21.5,48,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,18,2013,juvenile,female,non-reproductive,19.5,47,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,rabun,7,19,2013,adult,female,post-lactating,22.5,48,2013,0,invasion,-83.41437967,34.8788537,GA_202,13241
GA,georgia,harris,5,14,2015,adult,male,non-reproductive,16,47,2013,2,epidemic,-84.91566364,32.73094236,GA_157,13145
GA,georgia,rabun,7,15,2013,adult,male,testes-descended,15.5,44,2013,0,invasion,-83.41437967,34.8788537,GA_211,13241
GA,georgia,harris,6,5,2016,adult,female,lactating,17.25,45,2013,3,epidemic,-84.91566364,32.73094236,GA_155,13145
GA,georgia,harris,6,5,2016,adult,female,lactating,23,50,2013,3,epidemic,-84.91566364,32.73094236,GA_155,13145
GA,georgia,harris,6,5,2016,adult,female,lactating,22,49,2013,3,epidemic,-84.91566364,32.73094236,GA_155,13145
GA,georgia,harris,6,5,2016,adult,female,lactating,23.5,50,2013,3,epidemic,-84.91566364,32.73094236,GA_155,13145
GA,georgia,cobb,7,15,2014,adult,male,non-reproductive,16.25,46,2013,1,invasion,-84.59204242,33.93685037,GA_69,13067
GA,georgia,cobb,7,16,2014,adult,male,testes-descended,16.75,48,2013,1,invasion,-84.59204242,33.93685037,GA_69,13067
GA,georgia,lumpkin,8,21,2014,adult,male,testes-descended,20,47,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,21,2014,adult,female,non-reproductive,20,48,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,21,2014,adult,female,non-reproductive,23.5,46,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,21,2014,adult,male,testes-descended,18,47,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,21,2014,adult,female,non-reproductive,18.5,46,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,9,15,2016,adult,male,non-reproductive,20,42,2013,3,epidemic,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,21,2014,adult,female,post-lactating,24,52,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,5,11,2017,adult,male,non-reproductive,15,45,2013,4,epidemic,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,5,9,2016,adult,male,testes-descended,16,41,2013,3,epidemic,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,21,2014,adult,male,testes-descended,17,46,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,9,7,2015,adult,male,testes-descended,14.5,45,2013,2,epidemic,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,5,11,2017,adult,male,non-reproductive,16,45,2013,4,epidemic,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,21,2014,adult,female,non-reproductive,19,45,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,lumpkin,8,22,2014,adult,female,post-lactating,23,49,2013,1,invasion,-84.01130878,34.56516365,GA_164,13187
GA,georgia,cherokee,5,30,2015,adult,female,pregnant,23,48,2013,2,epidemic,-84.48371602,34.2400035,GA_61,13057
GA,georgia,bartow,6,30,2013,juvenile,male,non-reproductive,16,49,2013,0,invasion,-84.85525287,34.22976581,GA_16,13015
GA,georgia,catoosa,6,8,2013,adult,female,lactating,14,49.5,2013,0,invasion,-85.14471433,34.88942304,GA_42,13047
GA,georgia,floyd,6,19,2014,adult,female,post-lactating,11.5,37,2013,1,invasion,-85.22545302,34.24745188,GA_97,13115
GA,georgia,floyd,6,19,2014,juvenile,female,non-reproductive,16,45,2013,1,invasion,-85.22545302,34.24745188,GA_97,13115
GA,georgia,floyd,6,19,2014,adult,female,post-lactating,13.5,38,2013,1,invasion,-85.22545302,34.24745188,GA_97,13115
GA,georgia,floyd,6,21,2014,juvenile,male,non-reproductive,16.25,46,2013,1,invasion,-85.22545302,34.24745188,GA_97,13115
GA,georgia,floyd,6,19,2014,adult,female,pregnant,14,35,2013,1,invasion,-85.22545302,34.24745188,GA_97,13115
GA,georgia,floyd,6,19,2014,adult,male,non-reproductive,17,47,2013,1,invasion,-85.22545302,34.24745188,GA_97,13115
GA,georgia,floyd,6,21,2014,adult,male,testes-descended,18,46,2013,1,invasion,-85.22545302,34.24745188,GA_97,13115
GA,georgia,harris,5,15,2015,adult,male,non-reproductive,15,41,2013,2,epidemic,-84.91566364,32.73094236,GA_153,13145
GA,georgia,harris,5,15,2015,adult,male,non-reproductive,15.5,47,2013,2,epidemic,-84.91566364,32.73094236,GA_153,13145
GA,georgia,harris,5,15,2015,adult,male,non-reproductive,14,45,2013,2,epidemic,-84.91566364,32.73094236,GA_153,13145
GA,georgia,bartow,5,25,2014,adult,male,non-reproductive,14.5,45,2013,1,invasion,-84.85525287,34.22976581,GA_30,13015
GA,georgia,bartow,5,28,2014,adult,male,testes-descended,15.5,48,2013,1,invasion,-84.85525287,34.22976581,GA_30,13015
GA,georgia,bartow,5,25,2014,adult,male,testes-descended,14.5,45,2013,1,invasion,-84.85525287,34.22976581,GA_30,13015
GA,georgia,bartow,5,25,2014,adult,male,testes-descended,14,44,2013,1,invasion,-84.85525287,34.22976581,GA_30,13015
GA,georgia,bartow,5,28,2014,adult,female,pregnant,27,47,2013,1,invasion,-84.85525287,34.22976581,GA_30,13015
GA,georgia,bartow,5,28,2014,adult,male,testes-descended,14.75,45,2013,1,invasion,-84.85525287,34.22976581,GA_30,13015
